
2024/02/16 (17:03:52) | ===> btop++ v.1.3.0
2024/02/16 (17:03:52) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/16 (17:03:59) | WARNING: Failed to join _runner thread on exit!

2024/02/17 (14:32:28) | ===> btop++ v.1.3.0
2024/02/17 (14:32:28) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/17 (14:32:49) | WARNING: Failed to join _runner thread on exit!

2024/02/19 (13:31:19) | ===> btop++ v.1.3.2
2024/02/19 (13:31:19) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/19 (13:31:44) | WARNING: Failed to join _runner thread on exit!

2024/02/19 (14:04:13) | ===> btop++ v.1.3.2
2024/02/19 (14:04:13) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/19 (14:04:29) | WARNING: Failed to join _runner thread on exit!

2024/02/20 (10:21:10) | ===> btop++ v.1.3.2
2024/02/20 (10:21:10) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/20 (10:21:15) | WARNING: Failed to join _runner thread on exit!

2024/02/21 (10:16:35) | ===> btop++ v.1.3.2
2024/02/21 (10:16:35) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/21 (10:16:57) | WARNING: Failed to join _runner thread on exit!

2024/02/21 (17:26:54) | ===> btop++ v.1.3.2
2024/02/21 (17:26:54) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/21 (17:26:57) | WARNING: Failed to join _runner thread on exit!

2024/02/22 (10:24:58) | ===> btop++ v.1.3.2
2024/02/22 (10:24:58) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/02/22 (10:25:09) | WARNING: Failed to join _runner thread on exit!

2024/03/05 (18:53:16) | ===> btop++ v.1.3.2
2024/03/05 (18:53:16) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/03/10 (15:18:48) | ===> btop++ v.1.3.2
2024/03/10 (15:18:48) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/03/10 (15:22:18) | WARNING: Failed to join _runner thread on exit!

2024/03/15 (09:41:54) | ===> btop++ v.1.3.2
2024/03/15 (09:41:54) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/03/15 (09:42:01) | WARNING: Failed to join _runner thread on exit!

2024/03/18 (09:56:53) | ===> btop++ v.1.3.2
2024/03/18 (09:56:53) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/03/18 (09:57:06) | WARNING: Failed to join _runner thread on exit!

2024/03/18 (11:52:33) | ===> btop++ v.1.3.2
2024/03/18 (11:52:33) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/03/18 (11:52:56) | WARNING: Failed to join _runner thread on exit!

2024/03/18 (11:52:57) | ===> btop++ v.1.3.2
2024/03/18 (11:52:57) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/03/18 (11:52:58) | WARNING: Failed to join _runner thread on exit!
